Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1019","Fat, goats","2017","2017","Head","158354","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1037","Fat, pigs","2015","2015","Head","1043757","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1037","Fat, pigs","2016","2016","Head","1087629","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1037","Fat, pigs","2017","2017","Head","1111859","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","979","Fat, sheep","2015","2015","Head","980528","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","979","Fat, sheep","2016","2016","Head","873000","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","979","Fat, sheep","2017","2017","Head","856876","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2015","2015","Head","842","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2016","2016","Head","1219","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","957","Hides, buffalo, fresh","2017","2017","Head","1893","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","919","Hides, cattle, fresh","2015","2015","Head","137271","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","919","Hides, cattle, fresh","2016","2016","Head","188655","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","919","Hides, cattle, fresh","2017","2017","Head","117417","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1182","Honey, natural","2015","2015","No","588379","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1182","Honey, natural","2016","2016","No","747434","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1182","Honey, natural","2017","2017","No","754105","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1182","Honey, natural","2018","2018","No","765772","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1182","Honey, natural","2019","2019","No","783348","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1108","Meat, ass","2015","2015","Head","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1108","Meat, ass","2016","2016","Head","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1108","Meat, ass","2017","2017","Head","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1089","Meat, bird nes","2015","2015","1000 Head","7","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1089","Meat, bird nes","2016","2016","1000 Head","6","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1089","Meat, bird nes","2017","2017","1000 Head","6","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","947","Meat, buffalo","2015","2015","Head","842","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","947","Meat, buffalo","2016","2016","Head","1219","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","947","Meat, buffalo","2017","2017","Head","1893","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","867","Meat, cattle","2015","2015","Head","137271","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","188655","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","867","Meat, cattle","2017","2017","Head","117417","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","867","Meat, cattle","2018","2018","Head","113560","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","867","Meat, cattle","2019","2019","Head","118960","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2015","2015","1000 Head","50449","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","50578","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","50074","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2018","2018","1000 Head","51482","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2019","2019","1000 Head","51510","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1069","Meat, duck","2015","2015","1000 Head","5307","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1069","Meat, duck","2016","2016","1000 Head","5778","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1069","Meat, duck","2017","2017","1000 Head","5576","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1069","Meat, duck","2018","2018","1000 Head","6405","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1069","Meat, duck","2019","2019","1000 Head","5501","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1017","Meat, goat","2015","2015","Head","173626","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1017","Meat, goat","2016","2016","Head","174730","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1017","Meat, goat","2017","2017","Head","158354","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1017","Meat, goat","2018","2018","Head","147370","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1017","Meat, goat","2019","2019","Head","151590","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1073","Meat, goose and guinea fowl","2015","2015","1000 Head","16","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1073","Meat, goose and guinea fowl","2016","2016","1000 Head","16","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1073","Meat, goose and guinea fowl","2017","2017","1000 Head","14","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1073","Meat, goose and guinea fowl","2018","2018","1000 Head","23","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1073","Meat, goose and guinea fowl","2019","2019","1000 Head","29","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1097","Meat, horse","2015","2015","Head","5","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1097","Meat, horse","2016","2016","Head","5","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1097","Meat, horse","2017","2017","Head","5","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1035","Meat, pig","2015","2015","Head","1043757","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","1087629","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1035","Meat, pig","2017","2017","Head","1111859","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1035","Meat, pig","2018","2018","Head","1207820","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1035","Meat, pig","2019","2019","Head","1235150","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1141","Meat, rabbit","2015","2015","1000 Head","2657","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1141","Meat, rabbit","2016","2016","1000 Head","2975","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1141","Meat, rabbit","2017","2017","1000 Head","2805","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","977","Meat, sheep","2015","2015","Head","980528","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","977","Meat, sheep","2016","2016","Head","873000","","Official data"
