Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","977","Meat, sheep","2019","2019","tonnes","86203","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2015","2015","tonnes","6787","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2016","2016","tonnes","6803","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2017","2017","tonnes","6846","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2018","2018","tonnes","6857","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2019","2019","tonnes","6809","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2015","2015","tonnes","1867897","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","1860510","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2017","2017","tonnes","1781215","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2018","2018","tonnes","1821926","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2019","2019","tonnes","1992114","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2015","2015","tonnes","115768","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2016","2016","tonnes","112974","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2017","2017","tonnes","114573","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2018","2018","tonnes","116338","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2019","2019","tonnes","118635","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2015","2015","tonnes","199812","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2016","2016","tonnes","200387","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2017","2017","tonnes","206744","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2018","2018","tonnes","207956","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2019","2019","tonnes","171807","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1128","Offals, edible, camels","2015","2015","tonnes","540","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1128","Offals, edible, camels","2016","2016","tonnes","539","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1128","Offals, edible, camels","2017","2017","tonnes","548","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1128","Offals, edible, camels","2018","2018","tonnes","552","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1128","Offals, edible, camels","2019","2019","tonnes","550","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","868","Offals, edible, cattle","2015","2015","tonnes","19554","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","868","Offals, edible, cattle","2016","2016","tonnes","18609","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","868","Offals, edible, cattle","2017","2017","tonnes","16710","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","868","Offals, edible, cattle","2018","2018","tonnes","16129","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","868","Offals, edible, cattle","2019","2019","tonnes","16740","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1018","Offals, edible, goats","2015","2015","tonnes","9266","Im","FAO data based on imputation methodology"
