Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,351,China,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11504168.06,A,"Aggregate, may include official, semi-official, estimated or calculated data",
MK,Macro Indicators,351,China,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,8150.802567,Fc,Calculated data,
MK,Macro Indicators,96,"China, Hong Kong SAR",6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,320862.7653,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,96,"China, Hong Kong SAR",6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,43936.69223,Fc,Calculated data,
MK,Macro Indicators,128,"China, Macao SAR",6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,45322.46254,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,128,"China, Macao SAR",6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,74036.10868,Fc,Calculated data,
MK,Macro Indicators,41,"China, mainland",6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11137982.83,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,41,"China, mainland",6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,7935.860304,Fc,Calculated data,
MK,Macro Indicators,44,Colombia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,282825.0124,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,44,Colombia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,5813.055242,Fc,Calculated data,
MK,Macro Indicators,45,Comoros,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1011.870873,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,45,Comoros,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1271.832078,Fc,Calculated data,
MK,Macro Indicators,46,Congo,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,10011.78687,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,46,Congo,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1953.206496,Fc,Calculated data,
MK,Macro Indicators,47,Cook Islands,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,309.858493,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,47,Cook Islands,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,17829.47772,Fc,Calculated data,
MK,Macro Indicators,48,Costa Rica,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,57157.99587,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,48,Costa Rica,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,11767.50496,Fc,Calculated data,
MK,Macro Indicators,107,Côte d'Ivoire,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,35320.95625,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,107,Côte d'Ivoire,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1490.592378,Fc,Calculated data,
